token	specif
合作	-125.40135501173465
一路	-105.84706955818783
一带	-86.74710402694022
建设	-79.61422611750436
国家	-50.39166708855223
项目	-44.9448832415938
习近平	-40.05071926388076
阿	-29.8927499956749
企业	-27.851303278807276
投资	-27.851303278807276
领域	-26.761828898299623
发展	-26.35047968067141
推进	-25.818924821223003
经济	-25.59929091674717
基础设施	-25.52860486287569
战略	-25.52860486287569
国际	-25.269445667659365
主席	-25.238290039701234
铁路	-24.36737550119982
能源	-23.206226023851183
共同	-22.7597561131552
走廊	-22.744650052619154
双方	-21.364657421832856
共建	-20.303701812374584
推动	-20.297796665882466
沿线	-18.98344631977835
倡议	-18.272231976845568
签署	-15.950851392441496
记者	-15.660701433403105
表示	-15.072105924717334
加强	-14.821621698572455
中巴	-14.182221435593421
阿拉伯	-14.066586214360132
实现	-13.94197732777461
亿美元	-13.919905524904685
‘	-13.554049433262094
’	-13.554049433262094
对接	-13.377783385785577
同	-13.287372181979414
支持	-12.909600145378077
全球	-12.759474713453283
积极	-12.53194968674597
机制	-12.46937953469992
全面	-12.179289315163116
互联互通	-12.179289315163116
俄罗斯	-11.689231090893937
2015	-11.599123686286088
经济带	-11.309048461858676
中东	-11.164813883371943
公司	-11.018978163774488
中方	-11.018978163774488
21	-10.72911745417398
老挝	-10.728912909411216
增长	-10.728912909411216
计划	-10.567464579233354
产能	-10.438852564487712
新加坡	-10.287595878841119
和平	-10.077488265396111
协议	-9.858746879520469
更	-9.850439745984069
相关	-9.728622430631408
巴塞罗那	-9.56870154577357
2016	-9.56870154577357
互利	-9.278661101736517
产业	-9.278661101736517
月	-8.787754582326121
沙特	-8.698595369829684
规划	-8.408569848630178
电力	-8.408569848630178
旅游	-8.118549433628274
共	-8.118549433628274
资源	-8.118549433628274
投行	-8.118549433628274
日	-8.077282428907655
+	-7.828533908610525
共赢	-7.828533908610525
哈萨克斯坦	-7.657914620572234
巴基斯坦	-7.639306259717292
打造	-7.538523533655923
实施	-7.538523533655923
指出	-7.505046732737237
论坛	-7.248517964667082
领导人	-7.248517964667082
两国	-7.228791497970567
提出	-7.132135111266863
新	-7.023307948207083
深化	-6.958517306767859
安全	-6.958517306767859
列车	-6.958517306767859
总理	-6.958517306767859
会议	-6.958517306767859
同比	-6.958517306767859
友好	-6.952991633582882
市场	-6.897222014023279
区域	-6.865554172163075
工程	-6.6776781411574495
提升	-6.66852188691161
中老	-6.66852188691161
未来	-6.66852188691161
协调	-6.66852188691161
框架	-6.66852188691161
”	-6.664074957499905
将	-6.520082657497726
正在	-6.402884479400269
工作	-6.402884479400269
访问	-6.402884479400269
经贸合作	-6.378531447054471
今年	-6.378531447054471
平台	-6.378531447054471
集团	-6.378531447054471
“	-6.327865551985538
我们	-6.252161798459209
中国	-6.153390394814947
重点	-6.12864782854363
参与	-6.088545840091371
金融	-6.088545840091371
备忘录	-6.088545840091371
自贸区	-6.088545840091371
鼓励	-6.088545840091371
亚	-6.073248665216082
对外	-6.073248665216082
希望	-5.855010064959413
需求	-5.855010064959413
区	-5.853834120308662
问题	-5.81208661762734
伊朗	-5.804520460928958
谅解	-5.798565183831874
认证	-5.798565183831874
人文	-5.798565183831874
中埃	-5.798565183831874
原则	-5.798565183831874
赢	-5.798565183831874
东盟	-5.798565183831874
维护	-5.798565183831874
优势	-5.582017418723014
国内	-5.551918214741037
高铁	-5.508589695923308
俄	-5.508589695923308
此访	-5.508589695923308
总统	-5.508589695923308
文件	-5.508589695923308
共同体	-5.508589695923308
两	-5.354835436084571
核心	-5.218619069602918
加快	-5.218619069602918
开工	-5.218619069602918
电网	-5.218619069602918
多个	-5.0381833797483075
走	-5.034849636274717
目前	-4.999500414507658
开展	-4.983128298435199
务实	-4.928653461797876
构建	-4.928653461797876
采访	-4.928653461797876
改革	-4.928653461797876
升级	-4.928653461797876
此次	-4.928653461797876
三国	-4.861206116274802
成果	-4.7781136421099255
理念	-4.767467384296347
马来西亚	-4.767467384296347
物流	-4.767467384296347
清洁	-4.638692878048471
强调	-4.638692878048471
天然气	-4.638692878048471
管道	-4.638692878048471
利益	-4.638692878048471
部门	-4.638692878048471
共享	-4.638692878048471
穆斯林	-4.638692878048471
基础	-4.6166340561836385
我国	-4.587075165343833
出去	-4.497650322445385
去年	-4.34873710901944
成立	-4.34873710901944
承包工程	-4.34873710901944
数据	-4.34873710901944
坚持	-4.34873710901944
演讲	-4.34873710901944
中东国家	-4.34873710901944
货运	-4.34873710901944
互鉴	-4.34873710901944
战略伙伴	-4.34873710901944
中欧	-4.34873710901944
伊斯兰	-4.34873710901944
境外	-4.34873710901944
中东地区	-4.34873710901944
融资	-4.34873710901944
发展中国家	-4.34873710901944
期间	-4.280075030654923
正式	-4.268723974957692
促进	-4.247226386526789
清真	-4.2288192267672775
印尼	-4.2288192267672775
政策	-4.2288192267672775
行动	-4.2288192267672775
创新	-4.2288192267672775
增加	-4.2288192267672775
英国	-4.132520844684728
宣布	-4.058786464342758
资金	-4.058786464342758
积极参与	-4.058786464342758
两年	-4.058786464342758
运营	-4.058786464342758
联合国	-4.058786464342758
引擎	-4.058786464342758
蒙古国	-4.058786464342758
项	-4.058786464342758
中东欧	-4.058786464342758
集装箱	-4.058786464342758
告诉	-4.058786464342758
共识	-4.058786464342758
让	-4.049470709632284
提供	-4.030676268510321
对话	-4.01630174230826
媒体	-3.961074389719586
命运	-3.961074389719586
组织	-3.961074389719586
有利于	-3.7688406943200405
相通	-3.7688406943200405
金额	-3.7688406943200405
合作伙伴	-3.7688406943200405
口岸	-3.7688406943200405
发表	-3.7688406943200405
提高	-3.7688406943200405
就业	-3.7688406943200405
落实	-3.7688406943200405
民众	-3.7688406943200405
航天	-3.7688406943200405
茶道	-3.7688406943200405
一体化	-3.7688406943200405
开发	-3.765574596192258
10	-3.765574596192258
个	-3.7417823708635978
共商	-3.478900114960362
商务部	-3.478900114960362
总	-3.478900114960362
改善	-3.478900114960362
进展	-3.478900114960362
民生	-3.478900114960362
成员国	-3.478900114960362
民心	-3.478900114960362
乌克兰	-3.478900114960362
模式	-3.478900114960362
教育	-3.478900114960362
委员会	-3.478900114960362
设计	-3.478900114960362
全方位	-3.478900114960362
也门	-3.478900114960362
北京	-3.478900114960362
基金	-3.478900114960362
小时	-3.478900114960362
经验	-3.478900114960362
装备	-3.478900114960362
联盟	-3.478900114960362
班列	-3.478900114960362
增进	-3.4293298258046723
外交	-3.4293298258046723
一系列	-3.4293298258046723
重大	-3.420962544736428
会	-3.349095853403764
格局	-3.269863187563118
埃及	-3.2074281156795963
中哈	-3.1889643097560167
梦想	-3.1889643097560167
良好	-3.1889643097560167
包容	-3.1889643097560167
新型	-3.1889643097560167
霍尔果斯	-3.1889643097560167
二期	-3.1889643097560167
利物浦	-3.1889643097560167
造福	-3.1889643097560167
构想	-3.1889643097560167
多边	-3.1889643097560167
运输	-3.188335932680774
服务	-3.1656283241290275
现实	-3.1656283241290275
能力	-3.1656283241290275
建成	-3.1656283241290275
文明	-3.142228725958116
启动	-3.0252711682589015
机构	-3.0252711682589015
经贸	-2.931048302687768
德黑兰	-2.9036201497249308
帮助	-2.9036201497249308
完善	-2.9036201497249308
匈牙利	-2.9036201497249308
苏伊士运河	-2.899033570650927
治理	-2.899033570650927
恐怖主义	-2.899033570650927
标准	-2.899033570650927
首个	-2.899033570650927
坚定	-2.899033570650927
卫星	-2.899033570650927
油气	-2.899033570650927
太阳能	-2.899033570650927
优先	-2.899033570650927
支点	-2.899033570650927
契合	-2.899033570650927
当前	-2.899033570650927
埃	-2.899033570650927
合同	-2.899033570650927
旗舰	-2.899033570650927
总书记	-2.899033570650927
开业	-2.899033570650927
梦	-2.899033570650927
意愿	-2.899033570650927
愿同	-2.899033570650927
期待	-2.899033570650927
基建	-2.899033570650927
电站	-2.899033570650927
气候变化	-2.899033570650927
苏伊士	-2.899033570650927
1	-2.8004708023960063
空间	-2.7831693046022883
亚洲	-2.742551590203769
更加	-2.742551590203769
机遇	-2.715600401109683
取得	-2.715600401109683
关键	-2.6435377717972908
一批	-2.6435377717972908
各自	-2.6435377717972908
吸引	-2.6435377717972908
能够	-2.6435377717972908
举措	-2.6091077948363663
发改委	-2.6091077948363663
工业园	-2.6091077948363663
青年	-2.6091077948363663
部	-2.6091077948363663
	-2.6091077948363663
互信	-2.6091077948363663
统筹	-2.6091077948363663
五	-2.6091077948363663
桥梁	-2.6091077948363663
好处	-2.6091077948363663
达成	-2.6091077948363663
研究所	-2.6091077948363663
家	-2.6091077948363663
出席	-2.6091077948363663
水电站	-2.6091077948363663
贷款	-2.6091077948363663
比港	-2.6091077948363663
部长	-2.6091077948363663
引领	-2.6091077948363663
发电	-2.6091077948363663
中资企业	-2.6091077948363663
符合	-2.6091077948363663
核电	-2.6091077948363663
新能源	-2.6091077948363663
深度	-2.6091077948363663
员工	-2.6091077948363663
亚太	-2.6091077948363663
而是	-2.5438434201997064
拥有	-2.5438434201997064
扩大	-2.507204980510979
占	-2.507204980510979
重要	-2.452838291394014
进程	-2.385664989838334
举办	-2.385664989838334
交流	-2.3471444299136315
开放	-2.320073496204607
有助于	-2.3191870252109816
一项	-2.3191870252109816
蓝图	-2.3191870252109816
参加	-2.3191870252109816
顺利	-2.3191870252109816
致力于	-2.3191870252109816
投资银行	-2.3191870252109816
房地产	-2.3191870252109816
中远	-2.3191870252109816
区域合作	-2.3191870252109816
携手	-2.3191870252109816
现有	-2.3191870252109816
沙特阿拉伯	-2.3191870252109816
投资者	-2.3191870252109816
尊重	-2.3191870252109816
环保	-2.3191870252109816
开启	-2.3191870252109816
竞争	-2.3191870252109816
产业链	-2.3191870252109816
彼此	-2.3191870252109816
万千瓦	-2.3191870252109816
石油	-2.3191870252109816
工业化	-2.3191870252109816
大学	-2.3191870252109816
成员	-2.3191870252109816
跨境	-2.3191870252109816
瓜达尔	-2.3191870252109816
倡导	-2.3191870252109816
深入	-2.3191870252109816
方案	-2.3191870252109816
预计	-2.3191870252109816
领土完整	-2.3191870252109816
周边国家	-2.3191870252109816
磋商	-2.3191870252109816
元首	-2.3191870252109816
有限公司	-2.3191870252109816
投入	-2.3191870252109816
效应	-2.3191870252109816
覆盖	-2.3191870252109816
设施	-2.3191870252109816
流动	-2.3191870252109816
原油	-2.3191870252109816
目标	-2.3191870252109816
洛特	-2.3191870252109816
泰	-2.3191870252109816
拓宽	-2.3191870252109816
正	-2.2948907171081756
带来	-2.2948907171081756
举行	-2.2948907171081756
水平	-2.2866972437598263
联合	-2.2866972437598263
要	-2.1804647504346293
公路	-2.1303534337943724
报道	-2.1303534337943724
伙伴	-2.1303534337943724
具体	-2.1303534337943724
愿	-2.1303534337943724
日前	-2.1303534337943724
关注	-2.1303534337943724
该	-2.1248269925387437
作用	-2.09865552554128
各	-2.09865552554128
高度	-2.074939531758166
拓展	-2.070048955373177
进一步	-2.040127895775773
跟	-2.029271214892482
发布会	-2.029271214892482
互访	-2.029271214892482
巩固	-2.029271214892482
设备	-2.029271214892482
内涵	-2.029271214892482
对方	-2.029271214892482
一道	-2.029271214892482
转型	-2.029271214892482
题为	-2.029271214892482
安排	-2.029271214892482
五大	-2.029271214892482
双	-2.029271214892482
共同努力	-2.029271214892482
积极响应	-2.029271214892482
潜力	-2.029271214892482
签约	-2.029271214892482
搭建	-2.029271214892482
十三	-2.029271214892482
过境	-2.029271214892482
时说	-2.029271214892482
人才	-2.029271214892482
HALAL	-2.029271214892482
便利化	-2.029271214892482
更好	-2.029271214892482
人民日报	-2.029271214892482
国务院	-2.029271214892482
全	-2.029271214892482
外交部	-2.029271214892482
合作项目	-2.029271214892482
运行	-2.029271214892482
累计	-2.029271214892482
额	-2.029271214892482
反恐	-2.029271214892482
开创	-2.029271214892482
协同	-2.029271214892482
中蒙	-2.029271214892482
合理	-2.029271214892482
核能	-2.029271214892482
顶层	-2.029271214892482
收获	-2.029271214892482
愿景	-2.029271214892482
签合同	-2.029271214892482
联动	-2.029271214892482
节点	-2.029271214892482
编制	-2.029271214892482
实践	-2.029271214892482
北部	-1.9338049418753027
这一	-1.8780464164547013
发挥	-1.8667124803711581
仪式	-1.8577050376305289
泰国	-1.846251884989349
科技	-1.846251884989349
所有	-1.739360344538366
落地	-1.739360344538366
光伏	-1.739360344538366
责任	-1.739360344538366
经济体	-1.739360344538366
奠基仪式	-1.739360344538366
拉合尔	-1.739360344538366
交融	-1.739360344538366
部长级	-1.739360344538366
保护	-1.739360344538366
借鉴	-1.739360344538366
水电	-1.739360344538366
服务业	-1.739360344538366
埃中	-1.739360344538366
充分发挥	-1.739360344538366
经济特区	-1.739360344538366
管理	-1.739360344538366
集体	-1.739360344538366
同期	-1.739360344538366
德拉	-1.739360344538366
电影	-1.739360344538366
阿盟	-1.739360344538366
研究院	-1.739360344538366
投产	-1.739360344538366
世界银行	-1.739360344538366
保障	-1.739360344538366
万象	-1.739360344538366
曼彻斯特	-1.739360344538366
中沙	-1.739360344538366
类	-1.739360344538366
卡西姆	-1.739360344538366
分享	-1.739360344538366
契合点	-1.739360344538366
来说	-1.739360344538366
就业机会	-1.739360344538366
截至	-1.739360344538366
王毅	-1.739360344538366
秉持	-1.739360344538366
改造	-1.739360344538366
一家	-1.739360344538366
商会	-1.739360344538366
支撑	-1.739360344538366
业务	-1.739360344538366
雅加达	-1.739360344538366
今后	-1.739360344538366
人士	-1.739360344538366
形式	-1.739360344538366
银行	-1.739360344538366
大家	-1.739360344538366
朋友	-1.739360344538366
南方电网	-1.739360344538366
千伏	-1.739360344538366
只要	-1.739360344538366
充实	-1.739360344538366
签订	-1.739360344538366
优势互补	-1.739360344538366
勒曼	-1.739360344538366
塞西	-1.739360344538366
组成部分	-1.739360344538366
核	-1.739360344538366
100	-1.739360344538366
开局	-1.739360344538366
连通	-1.739360344538366
高新	-1.739360344538366
秘书长	-1.739360344538366
食品	-1.739360344538366
网络	-1.739360344538366
石材	-1.739360344538366
应对	-1.739360344538366
工业	-1.739360344538366
自主	-1.739360344538366
负责人	-1.739360344538366
入驻	-1.739360344538366
作出	-1.739360344538366
伊中	-1.739360344538366
省	-1.739360344538366
资本	-1.739360344538366
王宫	-1.739360344538366
领导	-1.739360344538366
内蒙古	-1.739360344538366
万隆	-1.739360344538366
互补性	-1.739360344538366
主题	-1.739360344538366
谈判	-1.739360344538366
智库	-1.739360344538366
2014	-1.6944397034712033
持续	-1.650191151277809
按照	-1.6293135602861892
相互	-1.6293135602861892
各方	-1.6293135602861892
力量	-1.6293135602861892
始终	-1.6293135602861892
主任	-1.6293135602861892
既	-1.6221643199385036
意义	-1.6221643199385036
新闻	-1.6221643199385036
部分	-1.6221643199385036
广阔	-1.6221643199385036
制造	-1.6221643199385036
继续	-1.566007876995166
稳定	-1.566007876995166
超过	-1.5042020974129686
第六届	-1.449454544263785
通信	-1.449454544263785
大使	-1.449454544263785
中华文化	-1.449454544263785
互译	-1.449454544263785
纳扎尔巴耶夫	-1.449454544263785
广度	-1.449454544263785
加大	-1.449454544263785
认可	-1.449454544263785
总经理	-1.449454544263785
打开	-1.449454544263785
全球化	-1.449454544263785
岗位	-1.449454544263785
月份	-1.449454544263785
助力	-1.449454544263785
复苏	-1.449454544263785
之旅	-1.449454544263785
亲自	-1.449454544263785
前所未有	-1.449454544263785
双边	-1.449454544263785
关切	-1.449454544263785
任务	-1.449454544263785
这趟	-1.449454544263785
本	-1.449454544263785
新理念	-1.449454544263785
目的地	-1.449454544263785
事务	-1.449454544263785
理解	-1.449454544263785
光明	-1.449454544263785
国事访问	-1.449454544263785
网民	-1.449454544263785
肖	-1.449454544263785
人员培训	-1.449454544263785
地说	-1.449454544263785
交通运输	-1.449454544263785
布局	-1.449454544263785
两国人民	-1.449454544263785
活力	-1.449454544263785
中俄蒙	-1.449454544263785
三大	-1.449454544263785
亚太地区	-1.449454544263785
联委会	-1.449454544263785
承建	-1.449454544263785
卢克索	-1.449454544263785
阿塞拜疆	-1.449454544263785
会谈	-1.449454544263785
指导	-1.449454544263785
重大项目	-1.449454544263785
多来	-1.449454544263785
组委会	-1.449454544263785
更大	-1.449454544263785
金融机构	-1.449454544263785
赞赏	-1.449454544263785
抓住	-1.449454544263785
改变	-1.449454544263785
中广核	-1.449454544263785
国情	-1.449454544263785
商定	-1.449454544263785
有望	-1.449454544263785
潮流	-1.449454544263785
五年计划	-1.449454544263785
共同利益	-1.449454544263785
双边贸易	-1.449454544263785
和谐	-1.449454544263785
集聚	-1.449454544263785
探讨	-1.449454544263785
友好合作	-1.449454544263785
辐射	-1.449454544263785
行程	-1.449454544263785
输电	-1.449454544263785
机场	-1.449454544263785
海运	-1.449454544263785
风电	-1.449454544263785
申请	-1.449454544263785
当天	-1.449454544263785
总部	-1.449454544263785
宗旨	-1.449454544263785
生机	-1.449454544263785
蓬勃发展	-1.449454544263785
缅	-1.449454544263785
正如	-1.449454544263785
多元化	-1.449454544263785
各项	-1.449454544263785
年来	-1.449454544263785
义乌	-1.449454544263785
确定	-1.449454544263785
全部	-1.449454544263785
为例	-1.449454544263785
土库曼斯坦	-1.449454544263785
核心区	-1.449454544263785
朋友圈	-1.449454544263785
周年	-1.449454544263785
到访	-1.449454544263785
万人	-1.449454544263785
总公司	-1.449454544263785
响应	-1.449454544263785
给予	-1.449454544263785
平等	-1.449454544263785
贸易额	-1.449454544263785
亿千瓦时	-1.449454544263785
凝聚	-1.449454544263785
东盟国家	-1.449454544263785
团结	-1.449454544263785
阿齐兹	-1.449454544263785
包	-1.449454544263785
困难	-1.449454544263785
承包	-1.449454544263785
萨	-1.449454544263785
典范	-1.449454544263785
积极开展	-1.449454544263785
高层	-1.449454544263785
代表团	-1.449454544263785
所在国	-1.449454544263785
遇到	-1.449454544263785
自由贸易区	-1.449454544263785
驻	-1.449454544263785
地带	-1.449454544263785
研究员	-1.449454544263785
焕发	-1.449454544263785
受益	-1.449454544263785
商机	-1.449454544263785
现代化	-1.449454544263785
广播	-1.449454544263785
沟通	-1.448131646186341
近	-1.403412030150937
西班牙	-1.403412030150937
连接	-1.3901573562622376
环境	-1.384904129141504
有力	-1.384904129141504
探索	-1.384904129141504
纽带	-1.384904129141504
枢纽	-1.384904129141504
反对	-1.384904129141504
有序	-1.384904129141504
有效	-1.384904129141504
结束	-1.384904129141504
注入	-1.384904129141504
专家	-1.2522775379644915
欢迎	-1.1909197551841124
近年来	-1.1909197551841124
上午	-1.1595536950497383
国际事务	-1.1595536950497383
利雅得	-1.1595536950497383
多样性	-1.1595536950497383
互办	-1.1595536950497383
培训	-1.1595536950497383
迎接	-1.1595536950497383
检验	-1.1595536950497383
并愿	-1.1595536950497383
传统友谊	-1.1595536950497383
首列	-1.1595536950497383
六大	-1.1595536950497383
主轴	-1.1595536950497383
堆	-1.1595536950497383
立足	-1.1595536950497383
中伊	-1.1595536950497383
最高	-1.1595536950497383
卫生	-1.1595536950497383
参观	-1.1595536950497383
第三	-1.1595536950497383
俄罗斯联邦	-1.1595536950497383
外资	-1.1595536950497383
确保	-1.1595536950497383
每天	-1.1595536950497383
通报	-1.1595536950497383
那么	-1.1595536950497383
委	-1.1595536950497383
万亿美元	-1.1595536950497383
中白	-1.1595536950497383
张高丽	-1.1595536950497383
电	-1.1595536950497383
总体规划	-1.1595536950497383
平衡	-1.1595536950497383
不久前	-1.1595536950497383
欧盟	-1.1595536950497383
势头	-1.1595536950497383
陆海	-1.1595536950497383
2018	-1.1595536950497383
迈向	-1.1595536950497383
亿	-1.1595536950497383
回答	-1.1595536950497383
丰硕	-1.1595536950497383
协定	-1.1595536950497383
优化	-1.1595536950497383
全程	-1.1595536950497383
生态	-1.1595536950497383
负责	-1.1595536950497383
互动	-1.1595536950497383
国家电网	-1.1595536950497383
尔托	-1.1595536950497383
三峡	-1.1595536950497383
迈上	-1.1595536950497383
你	-1.1595536950497383
阿中	-1.1595536950497383
配套	-1.1595536950497383
矿产	-1.1595536950497383
泛亚	-1.1595536950497383
向东看	-1.1595536950497383
防治	-1.1595536950497383
平等互利	-1.1595536950497383
小镇	-1.1595536950497383
美好	-1.1595536950497383
新台阶	-1.1595536950497383
走出	-1.1595536950497383
一期	-1.1595536950497383
卡尔	-1.1595536950497383
航空	-1.1595536950497383
何	-1.1595536950497383
对外开放	-1.1595536950497383
习	-1.1595536950497383
示范	-1.1595536950497383
倍	-1.1595536950497383
惠及	-1.1595536950497383
股份	-1.1595536950497383
万条	-1.1595536950497383
美好未来	-1.1595536950497383
投资额	-1.1595536950497383
万余条	-1.1595536950497383
品牌	-1.1595536950497383
琅勃拉邦	-1.1595536950497383
急需	-1.1595536950497383
下午	-1.1595536950497383
顺应	-1.1595536950497383
哈尼	-1.1595536950497383
成效	-1.1595536950497383
东南亚地区	-1.1595536950497383
普伊格	-1.1595536950497383
平方公里	-1.1595536950497383
带到	-1.1595536950497383
亿元	-1.1595536950497383
整体	-1.1595536950497383
视角	-1.1595536950497383
格鲁吉亚	-1.1595536950497383
互换	-1.1595536950497383
立法机构	-1.1595536950497383
辆	-1.1595536950497383
突破口	-1.1595536950497383
伊斯兰堡	-1.1595536950497383
试运行	-1.1595536950497383
三是	-1.1595536950497383
莫斯科	-1.1595536950497383
培育	-1.1595536950497383
价值	-1.1595536950497383
会见	-1.1595536950497383
指明	-1.1595536950497383
执行	-1.1595536950497383
调整	-1.1595536950497383
塞尔维亚	-1.1595536950497383
技术人员	-1.1595536950497383
维达	-1.1595536950497383
旨在	-1.1595536950497383
版	-1.1595536950497383
影视	-1.1595536950497383
相比	-1.1595536950497383
雅万	-1.1595536950497383
装载	-1.1595536950497383
快车	-1.1595536950497383
